Name,URL,Author,Price,Average Rating,Number of Ratings
"First Aid for the USMLE Step 1 2023, Thirty Third Edition",https://www.amazon.in/First-USMLE-Step-Thirty-Third/dp/1264946627/ref=zg_bs_books_sccl_24/000-0000000-0000000?psc=1,Matthew Sochat,"₹1,220.00",4.2,150
SSC Maths 6800 TCS MCQ chapter wise 4th edition english medium I detailed explanation and short tricks,https://www.amazon.in/chapter-english-medium-detailed-explanation/dp/B0BW4MVR3P/ref=zg_bs_books_sccl_25/000-0000000-0000000?psc=1,Pinnacle Publications,₹499.00,5.0,5
Math Concept King All Formulas and Theorum Latest 2023 Edition | Gagan Pratap Sir | Champion Publication,https://www.amazon.in/Concept-Formulas-Theorum-Champion-Publication/dp/B0BVHGWTMN/ref=zg_bs_books_sccl_26/000-0000000-0000000?psc=1,Gagan Pratap Sir,₹130.00,3.7,25
R D Sharma Mathematics Class 9 with MCQ in Mathematics - CBSE Examination 2023-2024,https://www.amazon.in/Mathematics-Class-Sharma-Examination-2022-23/dp/B09SJ5TZZ4/ref=zg_bs_books_sccl_27/000-0000000-0000000?psc=1,R.D. Sharma,₹581.00,4.5,"1,263"
"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_books_sccl_28/000-0000000-0000000?psc=1,Maple Press,₹245.00,4.5,"1,093"
28 Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2022) 13th Edition,https://www.amazon.in/Services-Prelims-Topic-wise-Solved-Papers/dp/B09XMHRQ63/ref=zg_bs_books_sccl_29/000-0000000-0000000?psc=1,Mrunal Patel,₹367.00,4.3,"1,216"
"108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",https://www.amazon.in/108-Panchatantra-Stories-Illustrated-children/dp/9390292921/ref=zg_bs_books_sccl_30/000-0000000-0000000?psc=1,Maple Press,₹128.00,4.4,"3,005"
Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,https://www.amazon.in/Indian-English-Revised-Services-Administrative/dp/9354600352/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1,M Laxmikanth,₹649.00,4.5,"3,964"
Concept of Physics by H.C Verma Part - II - Session 2022-23,https://www.amazon.in/Concept-Physics-Part-2-2018-2019-Session/dp/8177092324/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1,H.C. Verma,₹380.00,4.6,"9,800"
THE SILENT PATIENT,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1,Alex Michaelides,₹235.00,4.5,"195,581"
